OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,Latitude,Longitude
67745,STRIPES #40628,"I-2, EXIT 134 & US-83",Mission,TX,639,3.259,26.1960867,-98.2759043
67746,STRIPES #40598,I-2/US-83,Mission,TX,639,2.869,26.1960867,-98.2759043
67747,STRIPES 7FLEET #42424,US-87/US-190,Brady,TX,740,3.599,31.100455,-99.3297186
67749,STRIPES 7FLEET #42436,I-20 EXIT 134,Midland,TX,612,3.06566666,31.9649168,-102.1063084
67750,STRIPES #40729,FM-511 & FM-802,Brownsville,TX,598,2.999,25.9024289,-97.4981698
67753,STRIPES #40892,SR-359 & SR-16,Hebbronville,TX,625,3.28566666,27.3103306,-98.6798475
67754,Refuel #185,US-220,Stokesdale,NC,65,3.699,36.2370356,-79.9182648
67763,SHELL,US-72,Mount Pleasant,MS,435,3.399,34.9590979,-89.5227747
67768,SHELL,US-60 & SR-657,Lewisport,KY,487,3.499,37.9369974,-86.9022146
67774,7-ELEVEN #39329,I-278/US-1,Linden,NJ,79,3.37566666,40.6487158,-74.2236403
67779,REATA PETROLEUM,I-76 & BARLOW RD,Fort Morgan                             ,CO,800,3.439,40.2477477,-103.7732792
67783,RUTTERS #4,US-30 & SR-1016/2011,Wrightsville                            ,PA,70,3.989,41.9149023,-79.4393877
67784,HAVANA CONVENIENCE,US-136,Havana                                  ,IL,368,3.799,40.2945462,-90.0709026
67789,BEAR RIVER VALLEY CO OP,SR-13/SR-83,Corinne                                 ,UT,835,3.419,41.5552399,-112.1302271
67797,CHEVRON,US-71 & SR-179,Coushatta                               ,LA,745,3.15566666,32.0148834,-93.3421165
67806,84 QUICK STOP,I-84,Brookhaven                              ,MS,620,3.149,31.5790667,-90.4407122
67819,BREW #31,US-71/US-18,Spencer,IA,440,3.46566666,43.1577278,-95.1477465
67820,CIRCLE K #2723487,US-17 & SR-211,Supply,NC,245,3.289,34.0176717,-78.267499
67821,FAS MART #5261,SR-9 & SR-57,Tollesboro,KY,410,3.35233333,38.5595201,-83.5760258
67826,VALLEN MART,US-14,Volga,SD,566,3.319,44.3260051,-96.912649
67829,KWIK TRIP #721,SR-19 & SR-73,Marshall,WI,420,3.49733333,43.1677006,-89.0643334
67832,Sprint Mart #45,US-278/US-45,Tupelo,MS,742,3.189,34.2089763,-88.7402735
67833,PETES #05,US-59 & US-400,Parsons,KS,307,3.299,37.3407838,-95.2596295
67837,PILOT TRAVEL CENTER #1054,US-183 & SR-21,Buda,TX,740,3.41566666,30.082475,-97.8417144
67839,EL TIGRE FOOD STORE #13,SR-336,Hidalgo                                 ,TX,639,3.21566666,26.1948925,-98.0860606
67841,CIRCLE K #2723844,US-15/US-501/US-1,Sanford,NC,177,3.049,35.4866663,-79.1971997
67844,UNCLE WILLIES #1288,US-13,Felton,DE,243,3.219,39.0253076,-75.5634372
67846,CEDAR RIVER PLAZA,SR-35,Stephenson,MI,360,3.419,45.8090945,-88.037775
67849,KUM & GO #0379,US-412/ US-63 & SR-25,Black Rock,AR,435,3.199,36.105763,-91.1078768
67854,CircleK #2709341,US-411,Chatsworth,GA,285,3.499,34.7948953,-84.7729539
67859,PILOT #1135,US-281,Falfurrias,TX,639,3.459,27.2244861,-98.1410359
67861,CASEYS #4308,US-34,Chariton                                ,IA,320,3.539,41.0047242,-93.301697
67868,CHEVRON,SR-19,Huntsville                              ,TX,670,2.979,30.7140419,-95.5683671
67871,BASIN MARKET #107,US-40,Vernal,UT,810,3.599,40.4519938,-109.5482577
67872,SMOKIES,US-45,Okolona                                 ,MS,576,3.099,34.0020146,-88.7547357
67883,CASH MAGIC HOLLYWOOD,US-90,Berwick,LA,725,3.399,29.6872481,-91.2466838
67887,AIRLINE CHEVRON,US-61,Kenner                                  ,LA,725,3.099,29.9747595,-90.2538221
67890,KUM & GO #0449,US-60/US-71,Neosho,MO,535,3.05566666,36.8432311,-94.3797991
67894,CIRCLE K #2705098,US-27 & SR-44,Leesburg,FL,140,3.57233333,28.810823,-81.8778582
67897,KENT KWIK #273,SR-302 & SR-18,Kermit,TX,710,3.039,31.8578999,-103.0932149
67910,G FUEL,US-40 & SR-140,Penns Grove,NJ,243,3.399,39.7295581,-75.4679734
67925,CHEVRON,US-61,Baton Rouge                             ,LA,600,3.899,30.4789815,-91.114433
67929,Circle K,SR-574,Plant City,FL,225,3.32566666,28.012498,-82.1548878
67933,SUNOCO,SR-50 & SR-471,Webster,FL,140,3.33566666,28.6115035,-82.0562065
67934,WHISPERING PINES,SR-10,Greensburg                              ,LA,600,3.099,30.8320831,-90.6738813
67940,MARTIN GENERAL STORE,US-22,Ebensburg                               ,PA,14,3.524,40.4773864,-78.7244003
67957,CITGO,US-27,Hialeah,FL,64,3.47233333,25.8102421,-80.2638136
67968,WHITESBURG BP,US-27/SR-16,Whitesburg                              ,GA,18,3.699,33.4914584,-84.9123958
67976,KWIK TRIP #587,US-141 & SR-22,Lena,WI,582,3.28233333,44.9510985,-88.0469998
68002,CO RETAIL VENTURE DB,US-34 & SR-59,Yuma,CO,800,3.449,40.0163487,-102.458253
68007,Highland oil,US-412,Hardy,AR,435,3.269,36.3188183,-91.4699206
68012,ROYAL FARMS #120,US-13/CR-16,Greenwood                               ,DE,194,3.259,38.80335,-75.5849115
68017,TEXACO,SR-89,Prescott,AZ,930,3.739,34.5405995,-112.4548802
68031,ORCHARD STOP BP,US-30,Montgomery                              ,IL,290,3.649,41.7188658,-88.2991629
68040,MISHAWAKA ROAD FLEET SITE,SR-19 & CR-20,Elkhart                                 ,IN,465,3.689,41.6012796,-85.8590603
68043,CARROLL MOTOR FUELS,US-40,Middle River,MD,22,3.139,39.355865,-76.4509879
68048,CASEYS #3961,SR-3 & SR-143,Marcus,IA,527,3.299,42.82471,-95.8079104
68052,CUBBYS #302,SR-39 & SR-175,Odebolt,IA,319,3.31566666,42.3121507,-95.2520585
68055,Gallops,US-20,Michigan City,IN,370,3.399,41.6803932,-86.8935029
68062,FARMERS UNION OIL,US-83,Wilton                                  ,ND,390,3.899,47.1255995,-100.7923939
68065,Caseys #4450,US-160,Ulysses                                 ,KS,525,3.399,37.5762749,-101.3502376
68067,PUMP & PANTRY #2,US-30 & US-281,Grand Island,NE,330,3.30733333,40.924271,-98.338685
68068,ELGIN ONE STOP,SR-14 & SR-70,Elgin,NE,470,3.13733333,41.9832688,-98.08455
68070,PAULS TRUCK STOP,US-171,Leesville                               ,LA,690,3.449,31.1521903,-93.2636981
68073,BIG BATS 2,US-20,Chadron,NE,506,3.699,42.8289505,-102.9957959
68081,SHELL,SR-308 & SR-654,Mathews                                 ,LA,725,3.459,29.683653,-90.5578268
68102,SUNOCO,ST 17,Carlstadt                               ,NJ,115,3.16233333,40.835767,-74.094552
68110,CIRCLE K #4705573,SR-82,Grafton,OH,414,3.749,41.2872318,-82.0210278
68113,CIRCLE K #4705571,ST 2,Holland,OH,550,3.549,41.621718,-83.711604
68114,BP,US-130,Burlington                              ,NJ,230,3.14566666,40.0819916,-74.8393243
68124,CIRCLE K #4705587,SR-585 & SR-57,Rittman,OH,249,3.659,40.9723644,-81.7811745
68147,Regal Truck Stop,SR 30,New Albany,MS,435,3.249,34.4942683,-89.0078418
68148,CIRCLE K #2723389,US-49,Gulfport,MS,715,2.944,30.4901838,-89.1048741
68165,GOLDEN GATE Fallon,US-50,Fallon,NV,966,3.549,39.474897,-118.7626538
68167,CIRCLE K #4707628,SR-90 & SR-5,Montezuma,NY,220,3.999,43.010065,-76.7032833
68179,WEST PAK A POK,SR-8,Houston                                 ,MS,655,3.399,33.8984461,-88.9992267
68196,CATDADDY MARKET,SR-33,Tazewell,TN,405,3.299,36.4477776,-83.5767356
68212,CIRCLE K #2723415,"I-26, EXIT 16",Spartanburg,SC,210,3.099,34.9312758,-81.9912055
68217,CIRCLE K #2723881,US-701 & US-501,Conway,SC,46,3.184,33.8360035,-79.0478143
68225,OASIS TRUCK STOP,US-60 & US-83,Canadian,TX,585,3.299,35.9120114,-100.3839018
68243,PILOT EXPRESS #1173,"I-5, EXIT 135",Tacoma,WA,977,4.599,47.3050173,-122.5182841
68261,STRIPES #2294,US-83 & FM-1120,Leakey,TX,740,2.949,29.6683487,-99.7424484
